jp,tw,kw
"魔大戦
  すべてを焼きつくした、その戦いが
  終わった時、世界から
「魔法」という力が消え去った","The Great Magic War:
	When that conflict that burned all
	to naught ended, the power known
	as ""magic"" vanished from the world.","Long ago, the War of the Magi
  reduced  the world to a
  scorched wasteland, and magic
  simply ceased to exist."
"  そして１０００年…
  鉄、火薬、蒸気機関
  人々は機械の力を使い、世界を
  よみがえらせた","Then 1000 years passed...
	Iron, gunpowder, steam engines;
	mankind used the power of
	machines to revive the world.","1000 years have passed... Iron,
  gunpowder, and steam engines
  have been rediscovered, and
  high technology reigns..."
"今またここに、伝説となった
  「魔法」の力を復活させ
  その強大な武力によって
  世界を支配しようとする者がいる…","In this time when the power of ""magic""
	has become but a legend, there are
	those who would restore it once more
	and use its might to rule the world...","But there are some who
  would enslave the world by
  reviving the dread destructive
  force known as ""magic."""
"
	人はまた
  そのあやまちを
  くり返そうとしているのか…","
	Are people about to
	repeat their mistakes
	all over again...?","Can it be that those
  in power are on the verge of
  repeating a senseless
  and deadly mistake?"
"「あの都市か？
	「魔大戦で氷づけになった１０００年前
	　の幻獣か…　",": That's the city?
	: A Genjuu trapped in ice during the
	 Great Magic War 1000 years ago...","VICKS: There's the town...
	WEDGE: Hard to believe an Esper's been found intact there,
	1000 years after the War of the Magi..."
"「また、がせじゃねえのか？
	「フム。
	　だが、あれの使用許可が出るくらいだ
	　かなり、たしかな情報だろう。　",": And it's not just a load of bull?
	: Hrm.
	 Authorization did come through to use that,
	 though, so the intel must be pretty certain.","VICKS: Think it's still alive?
	WEDGE: Probably...
	...judging from the urgency of our orders. "
"「生まれながらに魔導の力を持つ娘か…
	　魔導アーマーに乗った兵士５０人を
	　たった３分で倒したとか…
	　恐しい…",": The girl born with the power of sorcery, huh...
	 She beat 50 soldiers in Sorcerous Armor
	 in just three minutes, or so they say...
	 Terrifying...","VICKS: And this woman, this...sorcerer. Why's she here?
	I heard she fried 50 of our Magitek Armored soldiers in under 3 minutes."
"「大丈夫。頭のかざりの力で思考は
	　止まっているはずだ。
	　俺達の命令で思い通りに動く。",": Don't worry. The thing on her head
	 ought to prevent her from thinking.
	 She'll act on our orders just fine.","WEDGE: Not to worry. The Slave Crown on her head robs her of all
	conscious thought. She'll follow orders."
"「東からまわりこむ。
	　行くぞ！　",": We'll circle in from the east.
	 Move out!","WEDGE: We'll approach from the east.
	Move out!"
"「この娘を先頭にして突っこむ
	　ザコにはかまうな。
	　行くぞ！",": We'll go in with the girl up front.
	 Don't waste effort on the small fry.
	 Move out!","WEDGE: Let's put her on point.
	No sense taking any risks.
	Forward!"
